Num1,Num2,Num3,Num4,Num5,Num6,bnsNum,총1등당첨금,1등당첨인원,1등수령액
10,23,29,33,37,40,16,863604600,0,0
9,13,21,25,32,42,2,0,1,2002006800
11,16,19,21,27,31,30,0,1,2000000000
14,27,30,31,40,42,2,1267147200,0,0
16,24,29,40,41,42,3,3041094900,0,0
14,15,26,27,40,42,34,0,1,6574451700
2,9,16,25,26,40,42,2600913000,0,0
8,19,25,34,37,39,9,7336896000,0,0
2,4,16,17,36,39,14,25803852000,0,0
9,25,30,33,41,44,6,0,13,6430437900
1,7,36,37,41,42,14,0,5,4780152300
2,11,21,25,39,45,44,0,12,1348845700
22,23,25,37,38,42,26,15599134800,0,0
2,6,12,31,33,40,15,0,4,9375048300
3,4,16,30,31,37,13,0,1,17014245000
6,7,24,37,38,40,33,0,4,4377146100
3,4,9,17,32,37,1,0,3,5349491200
3,12,13,19,32,35,29,15751560000,0,0
6,30,38,39,40,43,26,0,1,40722959400
10,14,18,20,23,30,41,0,1,19352212800
6,12,17,18,31,32,21,0,23,797475400
4,5,6,8,17,39,25,0,4,4552194900
5,13,17,18,33,42,44,0,4,4317947700
7,8,27,29,36,43,6,19010560200,0,0
2,4,21,26,43,44,16,0,2,24227745300
4,5,7,18,20,25,31,0,5,3495069900
1,20,26,28,37,43,27,0,2,9543982500
9,18,23,25,35,37,1,0,10,1700361100
1,5,13,34,39,40,11,0,5,3552594000
8,17,20,35,36,44,4,0,2,8728555500
7,9,18,23,28,35,32,0,2,8106672900
6,14,19,25,34,44,11,0,10,1634528300
4,7,32,33,40,41,9,0,1,14903517600
9,26,35,37,40,42,2,0,5,3056918000
2,3,11,26,37,43,39,0,3,5054598200
1,10,23,26,28,40,31,0,1,16014475800
7,27,30,33,35,37,42,0,3,4985999400
16,17,22,30,37,43,36,0,3,5374866400
6,7,13,15,21,43,8,0,6,2623748800
7,13,18,19,25,26,6,0,13,1147652400
13,20,23,35,38,43,34,13784904600,0,0
17,18,19,21,23,32,1,0,6,6899280100
6,31,35,38,39,44,1,0,1,17749630800
3,11,21,30,38,45,39,0,5,3362155800
1,10,20,27,33,35,17,0,2,8356417800
8,13,15,23,31,38,39,0,3,5327758800
14,17,26,31,36,45,27,0,5,3250042400
6,10,18,26,37,38,3,0,6,2415673600
4,7,16,19,33,40,30,0,7,1967504600
2,10,12,15,22,44,1,0,3,5227061400
2,3,11,16,26,44,35,0,6,2421117000
2,4,15,16,20,29,1,0,4,3900844900
7,8,14,32,33,39,42,0,3,5014371000
1,8,21,27,36,39,37,0,3,5148626600
17,21,31,37,40,44,7,0,2,7088799600
10,14,30,31,33,37,19,0,4,3777570900
7,10,16,25,29,44,6,0,4,4114411900
10,24,25,33,40,44,1,0,4,3676429200
6,29,36,39,41,45,13,0,4,4127587300
2,8,25,36,39,42,11,0,7,2172504600
14,15,19,30,38,43,8,0,5,3541038800
3,8,15,27,29,35,21,0,1,15817286400
3,20,23,36,38,40,5,0,2,7922245500
14,15,18,21,26,36,39,0,4,3899818000
4,25,33,36,40,43,39,0,4,3727945800
2,3,7,17,22,24,45,0,4,3685138200
3,7,10,15,36,38,33,0,7,2114436500
10,12,15,16,26,39,38,0,5,2945882100
5,8,14,15,19,39,35,0,3,4962712200
5,19,22,25,28,43,26,0,3,5031277800
5,9,12,16,29,41,21,14909209800,0,0
2,4,11,17,26,27,1,0,13,3260524600
3,12,18,32,40,43,38,0,6,2766662100
6,15,17,18,35,40,23,0,3,5284949800
2,5,24,32,34,44,28,0,4,3914616900
1,3,15,22,25,37,43,0,2,7451022600
2,18,29,32,43,44,37,0,3,5155758600
10,13,25,29,33,35,38,0,4,3519850000
3,12,24,27,30,32,14,0,4,3416443800
17,18,24,25,26,30,1,0,1,13809540000
5,7,11,13,20,33,6,0,5,2714288880
1,2,3,14,27,42,39,0,1,14562494400
6,10,15,17,19,34,14,0,2,7086948300
16,23,27,34,42,45,11,0,2,7669779000
6,8,13,23,31,36,21,0,4,3462109800
2,12,37,39,41,45,33,0,1,14252186400
4,12,16,23,34,43,26,0,11,1799358055
1,17,20,24,30,41,27,0,4,3069709650
4,26,28,29,33,40,37,0,3,4248321900
17,20,29,35,38,44,10,0,4,3291435300
1,21,24,26,29,42,27,0,4,3582902400
3,14,24,33,35,36,17,0,11,1233270846
6,22,24,36,38,44,19,0,6,2269178150
5,32,34,40,41,45,6,0,6,2245339950
8,17,27,31,34,43,14,0,8,1747741238
1,3,8,21,22,31,20,0,7,1847133515
6,7,14,15,20,36,3,0,9,1496214000
6,9,16,23,24,32,43,0,4,3177972300
1,3,10,27,29,37,11,0,6,2169219050
1,7,11,23,37,42,6,0,4,3315315525
1,3,17,32,35,45,8,0,5,2707297500
17,22,24,26,35,40,42,0,9,1457153067
5,14,15,27,30,45,10,0,8,1691589563
17,32,33,34,42,44,35,0,2,6610743750
8,10,20,34,41,45,28,0,4,3416781450
4,10,12,22,24,33,29,0,16,810461157
1,4,5,6,9,31,17,0,2,6679927800
7,18,22,23,29,44,12,0,7,1998900772
1,5,34,36,42,44,33,0,12,1246838200
7,20,22,23,29,43,1,0,3,4566262000
7,18,31,33,36,40,27,0,6,2199047450
26,29,30,33,41,42,43,0,9,1567271167
4,9,28,33,36,45,26,0,9,1561528934
11,14,19,26,28,41,2,0,6,2362345050
1,2,6,9,25,28,31,0,9,1488589567
2,4,25,31,34,37,17,0,7,1997747315
5,10,22,34,36,44,35,0,9,1558378334
3,4,10,17,19,22,38,0,10,1297989720
3,11,13,14,17,21,38,0,9,1474899400
4,6,10,11,32,37,30,0,3,4364530300
12,28,30,34,38,43,9,0,2,6839648100
1,11,16,17,36,40,8,0,9,1450073800
7,17,18,28,30,45,27,0,5,2532982680
4,16,23,25,29,42,1,0,9,1395936267
2,8,32,33,35,36,18,0,7,1754870786
7,20,22,27,40,43,1,0,9,1369301500
3,5,10,29,32,43,35,0,6,1965939150
12,30,34,36,37,45,39,0,6,2064043100
19,23,25,28,38,42,17,0,11,1093629655
7,19,24,27,42,45,31,0,4,3036496650
8,10,11,14,15,21,37,0,8,1451214488
3,17,23,34,41,45,43,0,4,2920473525
4,7,15,18,23,26,13,0,8,1450242600
3,12,20,23,31,35,43,0,5,2349155100
6,14,22,28,35,39,16,0,7,1717293515
2,16,30,36,41,42,11,0,6,1997694150
7,9,20,25,36,39,15,0,9,1270403467
10,11,27,28,37,39,19,0,5,2227152000
9,11,15,20,28,43,13,0,7,1650210215
3,13,17,18,19,28,8,0,5,2109462840
8,12,29,31,42,43,2,0,6,1900552400
12,16,30,34,40,44,19,0,11,1018265564
26,27,28,42,43,45,8,0,3,3954584700
4,15,17,26,36,37,43,0,8,1402440413
2,3,13,20,27,44,9,0,3,3797838200
2,19,27,35,41,42,25,0,2,6043415250
4,6,13,21,40,42,36,0,7,1700040215
21,25,33,34,35,36,17,0,5,2323596420
2,11,21,34,41,42,27,0,7,1639052143
2,18,25,28,37,39,16,0,4,2831645850
1,2,10,13,18,19,15,0,4,2716634025
1,5,13,26,29,34,43,0,5,2278131840
3,8,11,12,13,36,33,0,4,2730526125
6,19,21,35,40,45,20,0,4,2836628700
16,19,20,32,33,41,4,0,9,1193005734
5,18,28,30,42,45,2,0,8,1401099900
19,26,30,33,35,39,37,0,2,5484903750
4,9,13,18,21,34,7,0,10,1069544340
1,18,30,41,42,43,32,0,6,1755407300
3,7,8,34,39,41,1,0,2,5490805350
22,34,36,40,42,45,44,0,7,1996876272
1,5,21,25,38,41,24,0,5,2308265760
7,11,26,28,29,44,16,0,7,1629726515
6,9,10,11,39,41,27,0,3,4054937900
5,13,18,19,22,42,31,0,2,6767426700
9,12,27,36,39,45,14,0,11,1111299982
24,27,28,30,36,39,4,0,5,2491222920
3,10,31,40,42,43,30,0,5,2349946920
16,27,35,37,43,45,19,0,5,2482888380
2,11,13,15,31,42,10,0,6,1923108250
4,16,25,29,34,35,1,0,6,1961339700
4,19,21,24,26,41,35,0,11,1081154073
3,9,24,30,33,34,18,0,8,1487736788
13,14,18,22,35,39,16,0,7,1771103058
